date,rank,team,games,wins,losses,draws,win_rate,games_behind,최근10경기,연속,홈,방문,season,recent10_wins,recent10_draws,recent10_losses,recent10_win_rate,home_wins,home_draws,home_losses,home_win_rate,away_wins,away_draws,away_losses,away_win_rate,games_played_ratio,month,final_rank,postseason,prev_season,prev_final_rank,prev_postseason,prev_win_rate,prev_avg,prev_runs_per_game,prev_hr_per_game,prev_rbi_per_game,prev_era,prev_whip,prev_so_per9,prev_bb_per9,prev_ra_per_game,prev_fpct,prev_errors_per_game,prev_sb_rate,prev_sb_per_game,prev_top5_hitter_hr,prev_top5_hitter_rbi,prev_top5_hitter_hits,prev_top5_hitter_tb,prev_top5_hitter_pa,prev_top5_hitter_xr,prev_top5_hitter_gpa,prev_top5_hitter_isop,prev_top5_pitcher_ip,prev_top5_pitcher_so,prev_top5_pitcher_bb,prev_top5_pitcher_hr,prev_top5_pitcher_era,prev_top5_pitcher_whip
2023-04-05,2.0,삼성,3.0,2.0,1.0,0.0,0.667,0.5,2승0무1패,2승,2-0-1,0-0-0,2023,2.0,0.0,1.0,0.6666666666666666,2.0,0.0,1.0,0.6666666666666666,0.0,0.0,0.0,,0.020833333333333332,4,8.0,0.0,2022,7.0,0.0,0.465,0.27,4.604166666666667,0.7152777777777778,4.354166666666667,4.29,1.44,6.79020979020979,3.3426573426573425,4.826388888888889,0.978,0.8194444444444444,77.1,0.6319444444444444,49.0,203.0,318.0,548.0,1166.0,193.7,0.30200000000000005,0.223,499.0,406.0,127.0,33.0,3.15,1.2633333333333334
2023-04-05,4.0,LG,4.0,2.0,2.0,0.0,0.5,1.0,2승0무2패,1패,0-0-0,2-0-2,2023,2.0,0.0,2.0,0.5,0.0,0.0,0.0,,2.0,0.0,2.0,0.5,0.027777777777777776,4,1.0,1.0,2022,3.0,1.0,0.613,0.269,4.965277777777778,0.8194444444444444,4.680555555555555,3.33,1.27,7.204192546583851,3.1513975155279503,3.6180555555555554,0.983,0.6180555555555556,68.9,0.7083333333333334,64.0,376.0,711.0,1049.0,2860.0,395.6,0.2734,0.1484,328.33333333333337,302.0,73.0,23.0,2.465,1.045
2023-04-05,4.0,KT,2.0,1.0,1.0,0.0,0.5,1.0,1승0무1패,1패,1-0-1,0-0-0,2023,1.0,0.0,1.0,0.5,1.0,0.0,1.0,0.5,0.0,0.0,0.0,,0.013888888888888888,4,2.0,1.0,2022,4.0,1.0,0.563,0.254,4.381944444444445,0.8263888888888888,4.083333333333333,3.51,1.25,7.508544795442776,2.544795442775764,3.9027777777777777,0.982,0.6736111111111112,72.4,0.6180555555555556,58.0,296.0,628.0,916.0,2623.0,326.0,0.25339999999999996,0.1258,516.6666666666667,396.0,110.0,29.0,3.6133333333333333,1.2766666666666666
2023-04-05,4.0,KIA,2.0,1.0,1.0,0.0,0.5,1.0,1승0무1패,1승,0-0-0,1-0-1,2023,1.0,0.0,1.0,0.5,0.0,0.0,0.0,,1.0,0.0,1.0,0.5,0.013888888888888888,4,6.0,0.0,2022,5.0,1.0,0.49,0.272,5.0,0.7847222222222222,4.701388888888889,4.2,1.42,7.328470955978119,3.6994008856473037,4.715277777777778,0.98,0.7430555555555556,75.2,0.7152777777777778,59.0,351.0,739.0,1076.0,2886.0,401.6,0.2712,0.1318,329.33333333333337,302.0,124.0,32.0,3.855,1.28
2023-04-05,4.0,NC,4.0,2.0,2.0,0.0,0.5,1.0,2승0무2패,1승,0-0-0,2-0-2,2023,2.0,0.0,2.0,0.5,0.0,0.0,0.0,,2.0,0.0,2.0,0.5,0.027777777777777776,4,4.0,1.0,2022,6.0,0.0,0.475,0.257,4.486111111111111,0.7291666666666666,4.256944444444445,3.9,1.36,8.169948186528497,3.6023316062176165,4.458333333333333,0.976,0.8819444444444444,71.9,0.6944444444444444,65.0,363.0,672.0,1008.0,2617.0,371.3,0.278,0.1496,193.66666666666666,194.0,34.0,14.0,2.97,1.13
2023-04-05,4.0,두산,4.0,2.0,2.0,0.0,0.5,1.0,2승0무2패,1패,2-0-2,0-0-0,2023,2.0,0.0,2.0,0.5,2.0,0.0,2.0,0.5,0.0,0.0,0.0,,0.027777777777777776,4,5.0,1.0,2022,9.0,0.0,0.423,0.255,4.430555555555555,0.7013888888888888,4.111111111111111,4.45,1.48,6.873110995310058,3.9043772798332466,5.006944444444445,0.978,0.8125,69.2,0.625,50.0,312.0,615.0,892.0,2502.0,308.3,0.255,0.147,477.66666666666663,389.0,180.0,43.0,3.66,1.3933333333333333
2023-04-05,9.0,롯데,3.0,1.0,2.0,0.0,0.333,1.5,1승0무2패,1패,0-0-0,1-0-2,2023,1.0,0.0,2.0,0.3333333333333333,0.0,0.0,0.0,,1.0,0.0,2.0,0.3333333333333333,0.020833333333333332,4,7.0,0.0,2022,8.0,0.0,0.457,0.267,4.201388888888889,0.7361111111111112,3.9583333333333335,4.45,1.46,8.426080166579906,3.4575741801145234,4.944444444444445,0.979,0.7916666666666666,61.0,0.4236111111111111,62.0,292.0,602.0,904.0,2169.0,305.2,0.27725,0.15325,343.6666666666667,306.0,79.0,16.0,3.755,1.27
2023-04-05,10.0,한화,3.0,0.0,3.0,0.0,0.0,2.5,0승0무3패,3패,0-0-0,0-0-3,2023,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,0.0,0.0,3.0,0.0,0.020833333333333332,4,9.0,0.0,2022,10.0,0.0,0.324,0.245,3.9166666666666665,0.6111111111111112,3.611111111111111,4.83,1.51,6.911432325886992,4.271747700394219,5.270833333333333,0.975,0.9305555555555556,65.5,0.6458333333333334,38.0,262.0,639.0,888.0,2686.0,316.3,0.24900000000000003,0.1032,163.0,129.0,84.0,16.0,4.36,1.39
2023-04-06,1.0,SSG,3.0,2.0,1.0,0.0,0.667,0.0,2승0무1패,1승,2-0-1,0-0-0,2023,2.0,0.0,1.0,0.6666666666666666,2.0,0.0,1.0,0.6666666666666666,0.0,0.0,0.0,,0.020833333333333332,4,3.0,1.0,2022,1.0,1.0,0.629,0.254,5.0,0.9583333333333334,4.736111111111111,3.87,1.29,7.0750512295081975,3.1606045081967213,4.319444444444445,0.98,0.7569444444444444,71.5,0.6805555555555556,75.0,362.0,657.0,1032.0,2753.0,402.3,0.2796,0.1648,501.33333333333337,435.0,137.0,44.0,3.106666666666667,1.1733333333333333
2023-04-06,2.0,키움,5.0,3.0,2.0,0.0,0.6,0.0,3승0무2패,1패,3-0-2,0-0-0,2023,3.0,0.0,2.0,0.6,3.0,0.0,2.0,0.6,0.0,0.0,0.0,,0.034722222222222224,4,10.0,0.0,2022,2.0,1.0,0.563,0.252,4.3125,0.6527777777777778,4.013888888888889,3.79,1.34,7.012085368989458,3.4019028027770637,4.236111111111111,0.979,0.8194444444444444,75.9,0.4375,63.0,350.0,735.0,1092.0,2791.0,381.9,0.26680000000000004,0.13920000000000002,381.33333333333337,378.0,88.0,12.0,2.34,1.02
2023-04-06,2.0,LG,5.0,3.0,2.0,0.0,0.6,0.0,3승0무2패,1승,0-0-0,3-0-2,2023,3.0,0.0,2.0,0.6,0.0,0.0,0.0,,3.0,0.0,2.0,0.6,0.034722222222222224,4,1.0,1.0,2022,3.0,1.0,0.613,0.269,4.965277777777778,0.8194444444444444,4.680555555555555,3.33,1.27,7.204192546583851,3.1513975155279503,3.6180555555555554,0.983,0.6180555555555556,68.9,0.7083333333333334,64.0,376.0,711.0,1049.0,2860.0,395.6,0.2734,0.1484,328.33333333333337,302.0,73.0,23.0,2.465,1.045
2023-04-06,2.0,두산,5.0,3.0,2.0,0.0,0.6,0.0,3승0무2패,1승,3-0-2,0-0-0,2023,3.0,0.0,2.0,0.6,3.0,0.0,2.0,0.6,0.0,0.0,0.0,,0.034722222222222224,4,5.0,1.0,2022,9.0,0.0,0.423,0.255,4.430555555555555,0.7013888888888888,4.111111111111111,4.45,1.48,6.873110995310058,3.9043772798332466,5.006944444444445,0.978,0.8125,69.2,0.625,50.0,312.0,615.0,892.0,2502.0,308.3,0.255,0.147,477.66666666666663,389.0,180.0,43.0,3.66,1.3933333333333333
2023-04-06,5.0,KT,2.0,1.0,1.0,0.0,0.5,0.5,1승0무1패,1패,1-0-1,0-0-0,2023,1.0,0.0,1.0,0.5,1.0,0.0,1.0,0.5,0.0,0.0,0.0,,0.013888888888888888,4,2.0,1.0,2022,4.0,1.0,0.563,0.254,4.381944444444445,0.8263888888888888,4.083333333333333,3.51,1.25,7.508544795442776,2.544795442775764,3.9027777777777777,0.982,0.6736111111111112,72.4,0.6180555555555556,58.0,296.0,628.0,916.0,2623.0,326.0,0.25339999999999996,0.1258,516.6666666666667,396.0,110.0,29.0,3.6133333333333333,1.2766666666666666
2023-04-06,5.0,KIA,2.0,1.0,1.0,0.0,0.5,0.5,1승0무1패,1승,0-0-0,1-0-1,2023,1.0,0.0,1.0,0.5,0.0,0.0,0.0,,1.0,0.0,1.0,0.5,0.013888888888888888,4,6.0,0.0,2022,5.0,1.0,0.49,0.272,5.0,0.7847222222222222,4.701388888888889,4.2,1.42,7.328470955978119,3.6994008856473037,4.715277777777778,0.98,0.7430555555555556,75.2,0.7152777777777778,59.0,351.0,739.0,1076.0,2886.0,401.6,0.2712,0.1318,329.33333333333337,302.0,124.0,32.0,3.855,1.28
2023-04-06,5.0,삼성,4.0,2.0,2.0,0.0,0.5,0.5,2승0무2패,1패,2-0-2,0-0-0,2023,2.0,0.0,2.0,0.5,2.0,0.0,2.0,0.5,0.0,0.0,0.0,,0.027777777777777776,4,8.0,0.0,2022,7.0,0.0,0.465,0.27,4.604166666666667,0.7152777777777778,4.354166666666667,4.29,1.44,6.79020979020979,3.3426573426573425,4.826388888888889,0.978,0.8194444444444444,77.1,0.6319444444444444,49.0,203.0,318.0,548.0,1166.0,193.7,0.30200000000000005,0.223,499.0,406.0,127.0,33.0,3.15,1.2633333333333334
2023-04-06,8.0,NC,5.0,2.0,3.0,0.0,0.4,1.0,2승0무3패,1패,0-0-0,2-0-3,2023,2.0,0.0,3.0,0.4,0.0,0.0,0.0,,2.0,0.0,3.0,0.4,0.034722222222222224,4,4.0,1.0,2022,6.0,0.0,0.475,0.257,4.486111111111111,0.7291666666666666,4.256944444444445,3.9,1.36,8.169948186528497,3.6023316062176165,4.458333333333333,0.976,0.8819444444444444,71.9,0.6944444444444444,65.0,363.0,672.0,1008.0,2617.0,371.3,0.278,0.1496,193.66666666666666,194.0,34.0,14.0,2.97,1.13
2023-04-06,9.0,롯데,3.0,1.0,2.0,0.0,0.333,1.0,1승0무2패,1패,0-0-0,1-0-2,2023,1.0,0.0,2.0,0.3333333333333333,0.0,0.0,0.0,,1.0,0.0,2.0,0.3333333333333333,0.020833333333333332,4,7.0,0.0,2022,8.0,0.0,0.457,0.267,4.201388888888889,0.7361111111111112,3.9583333333333335,4.45,1.46,8.426080166579906,3.4575741801145234,4.944444444444445,0.979,0.7916666666666666,61.0,0.4236111111111111,62.0,292.0,602.0,904.0,2169.0,305.2,0.27725,0.15325,343.6666666666667,306.0,79.0,16.0,3.755,1.27
2023-04-06,10.0,한화,4.0,1.0,3.0,0.0,0.25,1.5,1승0무3패,1승,0-0-0,1-0-3,2023,1.0,0.0,3.0,0.25,0.0,0.0,0.0,,1.0,0.0,3.0,0.25,0.027777777777777776,4,9.0,0.0,2022,10.0,0.0,0.324,0.245,3.9166666666666665,0.6111111111111112,3.611111111111111,4.83,1.51,6.911432325886992,4.271747700394219,5.270833333333333,0.975,0.9305555555555556,65.5,0.6458333333333334,38.0,262.0,639.0,888.0,2686.0,316.3,0.24900000000000003,0.1032,163.0,129.0,84.0,16.0,4.36,1.39
2023-04-07,1.0,SSG,4.0,3.0,1.0,0.0,0.75,0.0,3승0무1패,2승,2-0-1,1-0-0,2023,3.0,0.0,1.0,0.75,2.0,0.0,1.0,0.6666666666666666,1.0,0.0,0.0,1.0,0.027777777777777776,4,3.0,1.0,2022,1.0,1.0,0.629,0.254,5.0,0.9583333333333334,4.736111111111111,3.87,1.29,7.0750512295081975,3.1606045081967213,4.319444444444445,0.98,0.7569444444444444,71.5,0.6805555555555556,75.0,362.0,657.0,1032.0,2753.0,402.3,0.2796,0.1648,501.33333333333337,435.0,137.0,44.0,3.106666666666667,1.1733333333333333
2023-04-07,2.0,LG,6.0,4.0,2.0,0.0,0.667,0.0,4승0무2패,2승,1-0-0,3-0-2,2023,4.0,0.0,2.0,0.6666666666666666,1.0,0.0,0.0,1.0,3.0,0.0,2.0,0.6,0.041666666666666664,4,1.0,1.0,2022,3.0,1.0,0.613,0.269,4.965277777777778,0.8194444444444444,4.680555555555555,3.33,1.27,7.204192546583851,3.1513975155279503,3.6180555555555554,0.983,0.6180555555555556,68.9,0.7083333333333334,64.0,376.0,711.0,1049.0,2860.0,395.6,0.2734,0.1484,328.33333333333337,302.0,73.0,23.0,2.465,1.045
2023-04-07,2.0,KT,3.0,2.0,1.0,0.0,0.667,0.5,2승0무1패,1승,1-0-1,1-0-0,2023,2.0,0.0,1.0,0.6666666666666666,1.0,0.0,1.0,0.5,1.0,0.0,0.0,1.0,0.020833333333333332,4,2.0,1.0,2022,4.0,1.0,0.563,0.254,4.381944444444445,0.8263888888888888,4.083333333333333,3.51,1.25,7.508544795442776,2.544795442775764,3.9027777777777777,0.982,0.6736111111111112,72.4,0.6180555555555556,58.0,296.0,628.0,916.0,2623.0,326.0,0.25339999999999996,0.1258,516.6666666666667,396.0,110.0,29.0,3.6133333333333333,1.2766666666666666
2023-04-07,2.0,두산,6.0,4.0,2.0,0.0,0.667,0.0,4승0무2패,2승,3-0-2,1-0-0,2023,4.0,0.0,2.0,0.6666666666666666,3.0,0.0,2.0,0.6,1.0,0.0,0.0,1.0,0.041666666666666664,4,5.0,1.0,2022,9.0,0.0,0.423,0.255,4.430555555555555,0.7013888888888888,4.111111111111111,4.45,1.48,6.873110995310058,3.9043772798332466,5.006944444444445,0.978,0.8125,69.2,0.625,50.0,312.0,615.0,892.0,2502.0,308.3,0.255,0.147,477.66666666666663,389.0,180.0,43.0,3.66,1.3933333333333333
2023-04-07,5.0,키움,6.0,3.0,3.0,0.0,0.5,1.0,3승0무3패,2패,3-0-2,0-0-1,2023,3.0,0.0,3.0,0.5,3.0,0.0,2.0,0.6,0.0,0.0,1.0,0.0,0.041666666666666664,4,10.0,0.0,2022,2.0,1.0,0.563,0.252,4.3125,0.6527777777777778,4.013888888888889,3.79,1.34,7.012085368989458,3.4019028027770637,4.236111111111111,0.979,0.8194444444444444,75.9,0.4375,63.0,350.0,735.0,1092.0,2791.0,381.9,0.26680000000000004,0.13920000000000002,381.33333333333337,378.0,88.0,12.0,2.34,1.02
2023-04-07,5.0,NC,6.0,3.0,3.0,0.0,0.5,1.0,3승0무3패,1승,1-0-0,2-0-3,2023,3.0,0.0,3.0,0.5,1.0,0.0,0.0,1.0,2.0,0.0,3.0,0.4,0.041666666666666664,4,4.0,1.0,2022,6.0,0.0,0.475,0.257,4.486111111111111,0.7291666666666666,4.256944444444445,3.9,1.36,8.169948186528497,3.6023316062176165,4.458333333333333,0.976,0.8819444444444444,71.9,0.6944444444444444,65.0,363.0,672.0,1008.0,2617.0,371.3,0.278,0.1496,193.66666666666666,194.0,34.0,14.0,2.97,1.13
2023-04-07,7.0,삼성,5.0,2.0,3.0,0.0,0.4,1.5,2승0무3패,2패,2-0-2,0-0-1,2023,2.0,0.0,3.0,0.4,2.0,0.0,2.0,0.5,0.0,0.0,1.0,0.0,0.034722222222222224,4,8.0,0.0,2022,7.0,0.0,0.465,0.27,4.604166666666667,0.7152777777777778,4.354166666666667,4.29,1.44,6.79020979020979,3.3426573426573425,4.826388888888889,0.978,0.8194444444444444,77.1,0.6319444444444444,49.0,203.0,318.0,548.0,1166.0,193.7,0.30200000000000005,0.223,499.0,406.0,127.0,33.0,3.15,1.2633333333333334
2023-04-07,8.0,KIA,3.0,1.0,2.0,0.0,0.333,1.5,1승0무2패,1패,0-0-1,1-0-1,2023,1.0,0.0,2.0,0.3333333333333333,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.5,0.020833333333333332,4,6.0,0.0,2022,5.0,1.0,0.49,0.272,5.0,0.7847222222222222,4.701388888888889,4.2,1.42,7.328470955978119,3.6994008856473037,4.715277777777778,0.98,0.7430555555555556,75.2,0.7152777777777778,59.0,351.0,739.0,1076.0,2886.0,401.6,0.2712,0.1318,329.33333333333337,302.0,124.0,32.0,3.855,1.28
2023-04-07,9.0,롯데,4.0,1.0,3.0,0.0,0.25,2.0,1승0무3패,2패,0-0-1,1-0-2,2023,1.0,0.0,3.0,0.25,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.3333333333333333,0.027777777777777776,4,7.0,0.0,2022,8.0,0.0,0.457,0.267,4.201388888888889,0.7361111111111112,3.9583333333333335,4.45,1.46,8.426080166579906,3.4575741801145234,4.944444444444445,0.979,0.7916666666666666,61.0,0.4236111111111111,62.0,292.0,602.0,904.0,2169.0,305.2,0.27725,0.15325,343.6666666666667,306.0,79.0,16.0,3.755,1.27
2023-04-07,10.0,한화,5.0,1.0,4.0,0.0,0.2,2.5,1승0무4패,1패,0-0-1,1-0-3,2023,1.0,0.0,4.0,0.2,0.0,0.0,1.0,0.0,1.0,0.0,3.0,0.25,0.034722222222222224,4,9.0,0.0,2022,10.0,0.0,0.324,0.245,3.9166666666666665,0.6111111111111112,3.611111111111111,4.83,1.51,6.911432325886992,4.271747700394219,5.270833333333333,0.975,0.9305555555555556,65.5,0.6458333333333334,38.0,262.0,639.0,888.0,2686.0,316.3,0.24900000000000003,0.1032,163.0,129.0,84.0,16.0,4.36,1.39
2023-04-08,1.0,SSG,5.0,4.0,1.0,0.0,0.8,0.0,4승0무1패,3승,2-0-1,2-0-0,2023,4.0,0.0,1.0,0.8,2.0,0.0,1.0,0.6666666666666666,2.0,0.0,0.0,1.0,0.034722222222222224,4,3.0,1.0,2022,1.0,1.0,0.629,0.254,5.0,0.9583333333333334,4.736111111111111,3.87,1.29,7.0750512295081975,3.1606045081967213,4.319444444444445,0.98,0.7569444444444444,71.5,0.6805555555555556,75.0,362.0,657.0,1032.0,2753.0,402.3,0.2796,0.1648,501.33333333333337,435.0,137.0,44.0,3.106666666666667,1.1733333333333333
2023-04-08,2.0,KT,4.0,3.0,1.0,0.0,0.75,0.5,3승0무1패,2승,1-0-1,2-0-0,2023,3.0,0.0,1.0,0.75,1.0,0.0,1.0,0.5,2.0,0.0,0.0,1.0,0.027777777777777776,4,2.0,1.0,2022,4.0,1.0,0.563,0.254,4.381944444444445,0.8263888888888888,4.083333333333333,3.51,1.25,7.508544795442776,2.544795442775764,3.9027777777777777,0.982,0.6736111111111112,72.4,0.6180555555555556,58.0,296.0,628.0,916.0,2623.0,326.0,0.25339999999999996,0.1258,516.6666666666667,396.0,110.0,29.0,3.6133333333333333,1.2766666666666666
2023-04-08,3.0,LG,7.0,5.0,2.0,0.0,0.714,0.0,5승0무2패,3승,2-0-0,3-0-2,2023,5.0,0.0,2.0,0.7142857142857143,2.0,0.0,0.0,1.0,3.0,0.0,2.0,0.6,0.04861111111111111,4,1.0,1.0,2022,3.0,1.0,0.613,0.269,4.965277777777778,0.8194444444444444,4.680555555555555,3.33,1.27,7.204192546583851,3.1513975155279503,3.6180555555555554,0.983,0.6180555555555556,68.9,0.7083333333333334,64.0,376.0,711.0,1049.0,2860.0,395.6,0.2734,0.1484,328.33333333333337,302.0,73.0,23.0,2.465,1.045
2023-04-08,4.0,NC,7.0,4.0,3.0,0.0,0.571,1.0,4승0무3패,2승,2-0-0,2-0-3,2023,4.0,0.0,3.0,0.5714285714285714,2.0,0.0,0.0,1.0,2.0,0.0,3.0,0.4,0.04861111111111111,4,4.0,1.0,2022,6.0,0.0,0.475,0.257,4.486111111111111,0.7291666666666666,4.256944444444445,3.9,1.36,8.169948186528497,3.6023316062176165,4.458333333333333,0.976,0.8819444444444444,71.9,0.6944444444444444,65.0,363.0,672.0,1008.0,2617.0,371.3,0.278,0.1496,193.66666666666666,194.0,34.0,14.0,2.97,1.13
2023-04-08,4.0,두산,7.0,4.0,3.0,0.0,0.571,1.0,4승0무3패,1패,3-0-2,1-0-1,2023,4.0,0.0,3.0,0.5714285714285714,3.0,0.0,2.0,0.6,1.0,0.0,1.0,0.5,0.04861111111111111,4,5.0,1.0,2022,9.0,0.0,0.423,0.255,4.430555555555555,0.7013888888888888,4.111111111111111,4.45,1.48,6.873110995310058,3.9043772798332466,5.006944444444445,0.978,0.8125,69.2,0.625,50.0,312.0,615.0,892.0,2502.0,308.3,0.255,0.147,477.66666666666663,389.0,180.0,43.0,3.66,1.3933333333333333
2023-04-08,6.0,KIA,4.0,2.0,2.0,0.0,0.5,1.5,2승0무2패,1승,1-0-1,1-0-1,2023,2.0,0.0,2.0,0.5,1.0,0.0,1.0,0.5,1.0,0.0,1.0,0.5,0.027777777777777776,4,6.0,0.0,2022,5.0,1.0,0.49,0.272,5.0,0.7847222222222222,4.701388888888889,4.2,1.42,7.328470955978119,3.6994008856473037,4.715277777777778,0.98,0.7430555555555556,75.2,0.7152777777777778,59.0,351.0,739.0,1076.0,2886.0,401.6,0.2712,0.1318,329.33333333333337,302.0,124.0,32.0,3.855,1.28
2023-04-08,7.0,키움,7.0,3.0,4.0,0.0,0.429,2.0,3승0무4패,3패,3-0-2,0-0-2,2023,3.0,0.0,4.0,0.42857142857142855,3.0,0.0,2.0,0.6,0.0,0.0,2.0,0.0,0.04861111111111111,4,10.0,0.0,2022,2.0,1.0,0.563,0.252,4.3125,0.6527777777777778,4.013888888888889,3.79,1.34,7.012085368989458,3.4019028027770637,4.236111111111111,0.979,0.8194444444444444,75.9,0.4375,63.0,350.0,735.0,1092.0,2791.0,381.9,0.26680000000000004,0.13920000000000002,381.33333333333337,378.0,88.0,12.0,2.34,1.02
2023-04-08,8.0,삼성,6.0,2.0,4.0,0.0,0.333,2.5,2승0무4패,3패,2-0-2,0-0-2,2023,2.0,0.0,4.0,0.3333333333333333,2.0,0.0,2.0,0.5,0.0,0.0,2.0,0.0,0.041666666666666664,4,8.0,0.0,2022,7.0,0.0,0.465,0.27,4.604166666666667,0.7152777777777778,4.354166666666667,4.29,1.44,6.79020979020979,3.3426573426573425,4.826388888888889,0.978,0.8194444444444444,77.1,0.6319444444444444,49.0,203.0,318.0,548.0,1166.0,193.7,0.30200000000000005,0.223,499.0,406.0,127.0,33.0,3.15,1.2633333333333334
2023-04-08,9.0,롯데,5.0,1.0,4.0,0.0,0.2,3.0,1승0무4패,3패,0-0-2,1-0-2,2023,1.0,0.0,4.0,0.2,0.0,0.0,2.0,0.0,1.0,0.0,2.0,0.3333333333333333,0.034722222222222224,4,7.0,0.0,2022,8.0,0.0,0.457,0.267,4.201388888888889,0.7361111111111112,3.9583333333333335,4.45,1.46,8.426080166579906,3.4575741801145234,4.944444444444445,0.979,0.7916666666666666,61.0,0.4236111111111111,62.0,292.0,602.0,904.0,2169.0,305.2,0.27725,0.15325,343.6666666666667,306.0,79.0,16.0,3.755,1.27
2023-04-08,10.0,한화,6.0,1.0,5.0,0.0,0.167,3.5,1승0무5패,2패,0-0-2,1-0-3,2023,1.0,0.0,5.0,0.16666666666666666,0.0,0.0,2.0,0.0,1.0,0.0,3.0,0.25,0.041666666666666664,4,9.0,0.0,2022,10.0,0.0,0.324,0.245,3.9166666666666665,0.6111111111111112,3.611111111111111,4.83,1.51,6.911432325886992,4.271747700394219,5.270833333333333,0.975,0.9305555555555556,65.5,0.6458333333333334,38.0,262.0,639.0,888.0,2686.0,316.3,0.24900000000000003,0.1032,163.0,129.0,84.0,16.0,4.36,1.39
2023-04-09,1.0,SSG,6.0,5.0,1.0,0.0,0.833,0.0,5승0무1패,4승,2-0-1,3-0-0,2023,5.0,0.0,1.0,0.8333333333333334,2.0,0.0,1.0,0.6666666666666666,3.0,0.0,0.0,1.0,0.041666666666666664,4,3.0,1.0,2022,1.0,1.0,0.629,0.254,5.0,0.9583333333333334,4.736111111111111,3.87,1.29,7.0750512295081975,3.1606045081967213,4.319444444444445,0.98,0.7569444444444444,71.5,0.6805555555555556,75.0,362.0,657.0,1032.0,2753.0,402.3,0.2796,0.1648,501.33333333333337,435.0,137.0,44.0,3.106666666666667,1.1733333333333333
2023-04-09,2.0,LG,8.0,6.0,2.0,0.0,0.75,0.0,6승0무2패,4승,3-0-0,3-0-2,2023,6.0,0.0,2.0,0.75,3.0,0.0,0.0,1.0,3.0,0.0,2.0,0.6,0.05555555555555555,4,1.0,1.0,2022,3.0,1.0,0.613,0.269,4.965277777777778,0.8194444444444444,4.680555555555555,3.33,1.27,7.204192546583851,3.1513975155279503,3.6180555555555554,0.983,0.6180555555555556,68.9,0.7083333333333334,64.0,376.0,711.0,1049.0,2860.0,395.6,0.2734,0.1484,328.33333333333337,302.0,73.0,23.0,2.465,1.045
2023-04-09,3.0,NC,8.0,5.0,3.0,0.0,0.625,1.0,5승0무3패,3승,3-0-0,2-0-3,2023,5.0,0.0,3.0,0.625,3.0,0.0,0.0,1.0,2.0,0.0,3.0,0.4,0.05555555555555555,4,4.0,1.0,2022,6.0,0.0,0.475,0.257,4.486111111111111,0.7291666666666666,4.256944444444445,3.9,1.36,8.169948186528497,3.6023316062176165,4.458333333333333,0.976,0.8819444444444444,71.9,0.6944444444444444,65.0,363.0,672.0,1008.0,2617.0,371.3,0.278,0.1496,193.66666666666666,194.0,34.0,14.0,2.97,1.13
2023-04-09,3.0,두산,8.0,5.0,3.0,0.0,0.625,1.0,5승0무3패,1승,3-0-2,2-0-1,2023,5.0,0.0,3.0,0.625,3.0,0.0,2.0,0.6,2.0,0.0,1.0,0.6666666666666666,0.05555555555555555,4,5.0,1.0,2022,9.0,0.0,0.423,0.255,4.430555555555555,0.7013888888888888,4.111111111111111,4.45,1.48,6.873110995310058,3.9043772798332466,5.006944444444445,0.978,0.8125,69.2,0.625,50.0,312.0,615.0,892.0,2502.0,308.3,0.255,0.147,477.66666666666663,389.0,180.0,43.0,3.66,1.3933333333333333
2023-04-09,5.0,KT,5.0,3.0,2.0,0.0,0.6,1.5,3승0무2패,1패,1-0-1,2-0-1,2023,3.0,0.0,2.0,0.6,1.0,0.0,1.0,0.5,2.0,0.0,1.0,0.6666666666666666,0.034722222222222224,4,2.0,1.0,2022,4.0,1.0,0.563,0.254,4.381944444444445,0.8263888888888888,4.083333333333333,3.51,1.25,7.508544795442776,2.544795442775764,3.9027777777777777,0.982,0.6736111111111112,72.4,0.6180555555555556,58.0,296.0,628.0,916.0,2623.0,326.0,0.25339999999999996,0.1258,516.6666666666667,396.0,110.0,29.0,3.6133333333333333,1.2766666666666666
2023-04-09,6.0,KIA,5.0,2.0,3.0,0.0,0.4,2.5,2승0무3패,1패,1-0-2,1-0-1,2023,2.0,0.0,3.0,0.4,1.0,0.0,2.0,0.3333333333333333,1.0,0.0,1.0,0.5,0.034722222222222224,4,6.0,0.0,2022,5.0,1.0,0.49,0.272,5.0,0.7847222222222222,4.701388888888889,4.2,1.42,7.328470955978119,3.6994008856473037,4.715277777777778,0.98,0.7430555555555556,75.2,0.7152777777777778,59.0,351.0,739.0,1076.0,2886.0,401.6,0.2712,0.1318,329.33333333333337,302.0,124.0,32.0,3.855,1.28
2023-04-09,7.0,키움,8.0,3.0,5.0,0.0,0.375,3.0,3승0무5패,4패,3-0-2,0-0-3,2023,3.0,0.0,5.0,0.375,3.0,0.0,2.0,0.6,0.0,0.0,3.0,0.0,0.05555555555555555,4,10.0,0.0,2022,2.0,1.0,0.563,0.252,4.3125,0.6527777777777778,4.013888888888889,3.79,1.34,7.012085368989458,3.4019028027770637,4.236111111111111,0.979,0.8194444444444444,75.9,0.4375,63.0,350.0,735.0,1092.0,2791.0,381.9,0.26680000000000004,0.13920000000000002,381.33333333333337,378.0,88.0,12.0,2.34,1.02
